text_zh,text_vi
"
如果您的设备依然没出现在列表中,请转至第 2 步:更改您的 Google 帐号密码。
","
Nếu thiết bị của bạn vẫn không có trong danh sách, hãy chuyển sang bước thay đổi mật khẩu Tài khoản Google.
"
"
你 還記 得 上 一次 看見 露娜 弗雷 亞 夫人 是 在 什么 時候 嗎 ?
","
Cậu có nhớ lần cuối cậu thấy quý cô Luna không?
"
"
13,14.( 甲)从什么事上,我们可以看出耶和华通情达理?(
","
13, 14. (a) Đức Giê-hô-va thể hiện tính phải lẽ như thế nào?
"
"
实际上在距离明天还有一个月时间, 关于这个问题 在华盛顿特区会有一个会议 由美国国家科学院举办的, 就我们应该做什么 这个问题做一个细致的讨论。
","
Có một buổi họp sẽ được tổ chức một tháng nữa kể từ ngày mai tại Washington, D.C. bởi Viện khoa học quốc gia Mỹ để trả lời cho câu hỏi này.
"
"
• 我们怎样做,就表明自己关心体贴上了年纪的弟兄姊妹?
","
• Làm thế nào chúng ta có thể biểu lộ lòng quan tâm nhân từ đối với các anh chị cao tuổi?
"
"
不论在年中什么时候,真心关注同工的基督徒要彼此表达爱心并不是难事。(
","
Tín đồ đấng Christ nào thật sự chú ý đến nhau không thấy khó gì để tự nhiên tỏ lòng yêu thương vào bất cứ lúc nào trong năm (Phi-líp 2:3, 4).
"
"
但 我們 談論 的 是 你 的 婚禮
","
Nhưng giờ chúng ta đang nói về lễ cưới của cậu đó, Noc.
"
"
但是,与其他英语国家一样,其收入不平衡水平高于许多欧洲国家。
","
Tuy nhiên, cũng như nhiều nền kinh tế của các nước nói tiếng Anh, nó có mức bất bình đẳng về thu nhập cao hơn so với nhiều nước châu Âu.
"
"
7,8.( 甲)有什么证据证明上帝的子民已‘放长他们的绳子’?(
","
7, 8. a) Có bằng chứng nào cho thấy rằng dân sự Đức Chúa Trời đã “giăng dây cho dài”?
"
"
你也会愉快地记起这节经文:「王要回答说:『我实在告诉你们,这些事你们既做在我这弟兄中一个最小的身上,就是做在我身上了』(马太福音25:40)。
","
Các chị em cũng sẽ mỉm cười khi nhớ tới câu này: “Vua sẽ trả lời rằng: Quả thật, ta nói cùng các ngươi, hễ các ngươi đã làm việc đó cho một người trong những người rất hèn mọn nầy của anh em ta, ấy là đã làm cho chính mình ta vậy” (Ma Thi Ơ 25:40).
"
"
并不是因为它们有益处,而是因为它们可以买得到。
","
Không phải chúng ngon, mà vì chúng luôn có sẵn.
"
"
8 由于服从上帝的吩咐,上帝地上仆人的数目现已超过七百万。
","
8 Nhờ vâng theo những điều răn đó, các tôi tớ của Đức Chúa Trời trên đất ngày nay lên đến khoảng bảy triệu người.
"
"
马太福音28:19,20)这正是本届学员将要做的事,因为他们分别奉派到20个国家去传道。
","
(Ma-thi-ơ 28:19, 20) Điều ấy thật thích hợp biết bao, vì những người tốt nghiệp được gửi đi phục vụ ở 20 nước khác nhau!
"
"
谁知第二天早上,他就打电话给我们说:“我找到你们想要的地皮了。”
","
Nhưng sáng hôm sau, ông ấy gọi lại và nói: “Tôi đã tìm được bất động sản quý vị muốn”.
"
"
洪水退后,所有东西都给铺了厚厚的泥浆,还散发着难闻的气味。
","
Sau khi nước rút, mọi thứ đều bị bao bọc bởi một lớp bùn dày hôi thối.
"
"
小鲍点击您的广告,这触发系统为第一次点击记录一次新会话。
","
Bob nhấp vào quảng cáo của bạn, đăng ký một phiên mới cho nhấp chuột đầu tiên.
"
"
人生最重要的就是对上帝忠心到底,在这方面所罗门却失败了。
","
Trong khía cạnh quan trọng nhất của đời sống, đó là giữ lòng trung thành với Đức Chúa Trời, thì ông lại thất bại.
"
"
12 我们从福音书的这两个记载得到宝贵的教益,得以深入了解“基督的思想”。
","
12 Hai lời tường thuật này trong Phúc âm cho chúng ta sự hiểu biết quý báu về “ý của Đấng Christ”.
"
"
摩奴建造了一条船,由鱼把船拖行,直至船搁在喜马拉雅山的一个山峰上。
","
Manu đóng một chiếc tàu và được con cá kéo cho đến khi chiếc tàu tấp trên một ngọn núi trong dãy Hy Mã Lạp Sơn.
"
"
我们可以怎样清楚说明经文的意义?[《
","
Chúng ta cho thấy rõ cách áp dụng câu Kinh Thánh qua những cách nào?
"
"
在聚会里,他们学习翻阅圣经和其他圣经书刊,也学到要尊重这些书刊。
","
Ở đấy, chúng học cách dùng và tôn trọng Kinh Thánh cũng như những ấn phẩm dựa trên Kinh Thánh.
"
"
Google 的欧洲总部位于爱尔兰的都柏林市 (Google Ireland Ltd.)。
","
Trụ sở chính của Google ở Châu Âu nằm tại Dublin (Google Ireland Ltd.).
"
"
马尔加良弟兄辩护时说,出席耶和华见证人聚会的儿童,都已获得家长许可, 又说,军事服务是个人的决定。
","
Anh cũng giải thích nghĩa vụ quân sự là một quyết định cá nhân.
"
"
他们 喜欢 破坏 甚至 会 作出 更 恶劣 的 行为 改造 等
","
Chuyện trốn đi là ý của em.
"
"
6. 为什么保罗劝加拉太的基督徒要站立得稳?
","
Quí trọng sự tự do mà Đức Chúa Trời ban cho
"
"
如果您的设备依然没出现在列表中,请转至第 2 步:更改您的 Google 帐号密码。
","
Nếu thiết bị của bạn vẫn không có trong danh sách, hãy chuyển sang bước thay đổi mật khẩu Tài khoản Google.
"
"
你 還記 得 上 一次 看見 露娜 弗雷 亞 夫人 是 在 什么 時候 嗎 ?
","
Cậu có nhớ lần cuối cậu thấy quý cô Luna không?
"
"
13,14.( 甲)从什么事上,我们可以看出耶和华通情达理?(
","
13, 14. (a) Đức Giê-hô-va thể hiện tính phải lẽ như thế nào?
"
"
实际上在距离明天还有一个月时间, 关于这个问题 在华盛顿特区会有一个会议 由美国国家科学院举办的, 就我们应该做什么 这个问题做一个细致的讨论。
","
Có một buổi họp sẽ được tổ chức một tháng nữa kể từ ngày mai tại Washington, D.C. bởi Viện khoa học quốc gia Mỹ để trả lời cho câu hỏi này.
"
"
• 我们怎样做,就表明自己关心体贴上了年纪的弟兄姊妹?
","
• Làm thế nào chúng ta có thể biểu lộ lòng quan tâm nhân từ đối với các anh chị cao tuổi?
"
"
不论在年中什么时候,真心关注同工的基督徒要彼此表达爱心并不是难事。(
","
Tín đồ đấng Christ nào thật sự chú ý đến nhau không thấy khó gì để tự nhiên tỏ lòng yêu thương vào bất cứ lúc nào trong năm (Phi-líp 2:3, 4).
"
"
但 我們 談論 的 是 你 的 婚禮
","
Nhưng giờ chúng ta đang nói về lễ cưới của cậu đó, Noc.
"
